Target_ID,Prot,e_Prot,Good,EB?,flare_rate,age,Teff,Bp-Rp,mass,e_mass,Kmag,e_Kmag,Vmag,e_Vmag
426537184,11.0525487004674,0.477730913519684,0.0,,0.22106625290696413,5.0,4371.0,1.492700000000001,0.68,0.084493,10.383,0.025,13.196,0.092
426494404,7.51756513870783,1.28393836543909,0.0,,0.05752636625119847,5.0,3279.0,2.7989999999999995,0.315738,0.0204374,12.285,0.024,nan,nan
426482921,13.9636071113133,1.24612729531042,0.0,,0.555936903571453,5.0,8586.0,0.17188999999999943,2.14,0.309413,8.196,0.023,8.519,0.002
426263497,5.57153044383145,0.525201330542081,0.0,,0.04293148519802006,5.0,3727.0,2.051499999999999,0.548493,0.0203512,11.287,0.023,15.109,0.16
426077808,6.26480799623273,0.508206509509113,0.0,,0.15040142839996193,5.0,4334.95,1.6731999999999996,0.68,0.0801853,10.927,0.023,13.968,0.126
422460501,3.63210154528272,0.71200898675893,0.0,,0.18565190194353484,120.0,4417.0,1.4703999999999997,0.691,0.0818899,10.333,0.023,13.129,0.103
421262334,4.96242175438095,0.187638636619698,0.0,,0.019813096424833598,5.0,3432.0,2.4993999999999996,0.469968,0.0206295,12.102,0.026,16.84,0.435
421253961,5.91353216117505,0.591353216117505,0.0,,0.15106202192858606,5.0,5174.0,1.1084000000000014,0.88,0.108769,10.599,0.023,12.723,0.057
418463500,7.56966325907306,0.767309479088188,0.0,,0.04154422868928377,5.0,3740.0,2.0357000000000003,0.489583,0.0206037,12.093,0.029,16.068,0.046
418018109,13.2203544299515,0.276920288982351,0.0,,0.14050101764096415,79.0,3192.0,2.979899999999999,0.400951,0.0211751,12.286,0.025,17.93,0.2
417832408,10.1098348875226,2.56182077217471,0.0,,0.015079165619502389,79.0,3002.0,3.4056999999999977,0.365031,0.0219785,12.511,0.026,nan,nan
427580801,9.11740772910862,0.953522411930777,0.0,,0.05865473472269971,127.4,3541.0,2.312000000000001,0.520481,0.0205023,11.181,0.02,15.73,0.2
258062921,13.3868175677131,0.44577570265904,0.0,,0.07079454464636424,127.4,3407.0,2.546900000000001,0.498477,0.0207096,11.254,0.024,15.5,0.2
313934228,1.71588915740536,0.233492713266259,0.0,,0.050653676878648635,137.1,3107.0,3.163400000000003,0.22358,0.0283253,14.529,0.072,nan,nan
258062598,16.5021364193261,0.921856105904748,0.0,,0.08052365546588533,127.4,3115.0,3.145200000000001,0.274406,0.0218824,12.874,0.03,18.75,0.2
12424590,10.1907698753052,0.207282209721199,0.0,,0.0516721687957514,137.1,3216.0,2.930299999999999,0.29726,0.0231289,13.75,0.039,nan,nan
12424475,4.09228674656546,0.131644718261203,0.0,,0.10258602265441333,137.1,3313.0,2.729800000000001,0.353212,0.0226742,13.424,0.038,18.4532,0.0507
12420213,10.3477051791006,0.189647736650261,0.0,,0.050112952047319546,137.1,3056.0,3.2779999999999987,0.171321,0.0320636,15.042,0.132,nan,nan
181358989,5.9557247261995,1.45481468180407,0.0,,0.14952360770935821,50.0,3198.0,2.968799999999998,0.388613,0.0213321,12.772,0.037,nan,nan
182536607,4.42257728768645,0.442257728768645,0.0,,0.04442495689759392,48.5,7250.0,0.6305099999999992,1.63,0.275237,9.061,0.021,10.22,0.005
12420159,10.4979998044089,0.204106818420257,0.0,,0.051996822416407885,137.1,3226.0,2.9101,0.296197,0.0235195,13.757,0.053,nan,nan
12418282,1.72225663752079,,0.0,,0.10286449032073719,137.1,3104.0,3.1692,0.213732,0.0244592,14.436,0.078,nan,nan
185462083,9.1298551679658,0.518556783174707,0.0,,0.035511185002762256,10.0,3577.0,2.2561999999999998,0.500934,0.0204603,10.563,0.023,15.041,0.126
186595915,13.8546900001717,0.470145856664743,0.0,,0.30767128849088016,79.0,7523.0,0.3740300000000012,1.737,0.269403,7.718,0.02,8.35,0.03
12418075,10.4943644119116,0.208196168737249,0.0,,0.1445411085197885,137.1,3408.0,2.544800000000002,0.53376,0.0213649,12.217,0.027,16.9758,0.0461
187033829,1.88587831233143,0.267556200539416,0.0,,0.04435682602267127,79.0,3109.0,3.1594000000000015,0.34491,0.0208171,12.327,0.026,nan,nan
187172355,13.2739229069886,0.268247930973842,0.0,,0.1767193810845956,79.0,3545.0,2.306700000000001,0.583608,0.0203789,11.2,0.02,15.724,0.08
124318745,0.654183535318481,0.0654183535318481,0.0,,0.0,30.2,7420.0,0.39161,1.696,0.268485,9.191,0.019,9.979,0.004
187529066,13.7796357795955,0.0444327099509639,0.0,,0.20926207654867854,79.0,3299.0,2.7591,0.473468,0.0206776,11.582,0.022,16.797,1.133
188459532,6.55942304246039,0.349273943615795,0.0,,0.0727667911622127,162.2,3123.0,3.1281999999999996,0.450386,0.0212371,12.54,0.028,nan,nan
12395018,2.54697302881912,0.606772689887099,0.0,,0.05263590661023996,137.1,3247.0,2.865500000000001,0.306976,0.0229438,13.687,0.044,nan,nan
